Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
0	21.101517915725708	1000	2000	-254.89980153077258	-254.89980153077258	2	2000
1	41.19516348838806	1000	3000	-173.90070528964867	-173.90070528964867	3	3000
2	61.4729859828949	1000	4000	-173.90070528964867	-243.4038106386318	4	4000
3	81.53850817680359	1000	5000	-169.10477117010208	-169.10477117010208	5	5000
4	101.80708503723145	1000	6000	-169.10477117010208	-217.63879775706013	6	6000
5	122.03066921234131	1000	7000	-123.64167655438708	-123.64167655438708	7	7000
6	142.38531231880188	1000	8000	-123.64167655438708	-293.0448477239977	8	8000
7	162.7798969745636	1000	9000	-123.64167655438708	-207.5525985570946	9	9000
8	183.3043122291565	1000	10000	-123.64167655438708	-258.1517412430311	10	10000
9	216.94555020332336	1000	11000	-123.64167655438708	-169.5044662838109	11	11000
10	244.24418830871582	1000	12000	19.330559120131802	19.330559120131802	12	12000
11	263.7918064594269	1000	13000	19.330559120131802	-46.33806994186658	13	13000
12	283.4229691028595	1000	14000	19.330559120131802	-75.54135481926242	14	14000
13	303.14155626296997	1000	15000	19.330559120131802	-36.027402124835376	15	15000
14	322.9699823856354	1000	16000	19.330559120131802	-118.83265614367735	16	16000
15	342.8801989555359	1000	17000	19.330559120131802	-145.23911048735502	17	17000
16	362.7607855796814	1000	18000	19.330559120131802	-198.6221008654331	18	18000
17	382.60728931427	1000	19000	19.330559120131802	-67.42844075669737	19	19000
18	402.4482386112213	1000	20000	19.330559120131802	-125.13895686153806	20	20000
19	425.3730866909027	1000	21000	19.330559120131802	-57.77208558532592	21	21000
20	461.09382128715515	1000	22000	19.330559120131802	-185.90389393690728	22	22000
21	480.46502590179443	1000	23000	19.330559120131802	-69.30725733332568	23	23000
22	500.00019669532776	1000	24000	19.330559120131802	-163.59664613775365	24	24000
23	519.7086162567139	1000	25000	135.0543526946429	135.0543526946429	25	25000
24	539.5066635608673	1000	26000	135.0543526946429	-12.152985636138393	26	26000
25	559.5048630237579	1000	27000	135.0543526946429	-102.3141627349948	27	27000
26	579.2752783298492	1000	28000	135.0543526946429	-151.7251743248259	28	28000
27	599.160534620285	1000	29000	203.44745961626802	203.44745961626802	29	29000
28	619.1520478725433	1000	30000	203.44745961626802	168.26642049972241	30	30000
29	638.999223947525	1000	31000	203.44745961626802	98.43880651035805	31	31000
30	660.5428683757782	1000	32000	203.44745961626802	-143.19136355929828	32	32000
31	698.3874225616455	1000	33000	208.12496299961052	208.12496299961052	33	33000
